Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of Laptop,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191357,"August 16, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Monitoring Assistant -1 Nos. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191469,"August 16, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of a Consulting Firm for Preliminary Damage Assessment for Long-Term Disaster Resilience in Nepal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191210,"August 15, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Computer, Printer, laptop, projector, server, scanner and other Electronic Equipment for office operation",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191252,"August 15, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of Consulting Firm for Municipal DRRM Plan of 11 LGs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191171,"August 14, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of PHP Developer for EMIS Support and Maintenance,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190918,"August 11, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,"Production and broadcasting of PMEP/YETI audio programme on minimum employment, role of local government to promote employment opportunities, domestic employment promotive activities and dignity of labour campaign activities Radio Nepal (G2G).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190935,"August 11, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Procurement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190732,"August 10, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Support program development  and dissemination on Structured career counselling to the  persons getting trainings  from  EVENT Project-II & Skill test certificate receivers.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190756,"August 10, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Support program development and dissemination on the procedures of getting loans from financial institutions to the trainee graduates certified from EVENT Project -II funded/supported training programs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190790,"August 10, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing: Ofice table and Chair, Sofa, Steel Cabinet, Carpet and Curtains",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190479,"August 8, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Furniture and Furnishing for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190420,"August 7, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Procurement and Installation of Air Conditioner (No. 3) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190421,"August 7, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Butwal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190230,"August 5, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Butwal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190231,"August 5, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s)  for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190283,"August 5, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190078,"August 4, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190080,"August 4, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of Scooter- 2 Nos. (150 CC) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00190091,"August 4, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of consultant for performance pedigree recording system, data management and operation",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189897,"August 3, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Gauradaha-Dipu-Gauriganj (km 10.560-21.960 of link F002-02),Damak Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189790,"August 2, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Slice 1: FMD Vaccines and Slice 2: FMD Logistics for Vaccination Programme,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189380,"August 1, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Forestry Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189327,"July 31, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Management of gardening on project office compound,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189123,"July 29, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Renovation of the existing physical structures (office building) for the project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189126,"July 29, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,"procurement of photocopy machine, printer and scanner",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188954,"July 28, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Hiring of Procurement and Contract Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188961,"July 28, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Man River-Bhuregaun link NH01-062 ( km 842.91-869.4, 875-878.04 ), Bhuregaun-Karnali NH01-063 (km 878.04-900.75), of Mahendra Highway, Kohalpur-Deurali link NH58-005 (kn 22.24-42.91),Deurali-Harre link NH58-006 ( km 45.3-68.85) of",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189050,"July 28, 2022"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Mid-Line Survey of FANSEP.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188568,"July 26, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Monitoring and Evaluation Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188579,"July 26, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Financial Management specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188580,"July 26, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Project Management Consultant for Road Asset Management System development,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188335,"July 25, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Lothar-Tikauli (km 438.550-440.000, km 442.800-444.800, km 457.200-458.750)of Mahendra Highway Link NH01-034),  Bharatpur Division DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188288,"July 24, 2022"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of portable projector and multimedia,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00188290,"July 24, 2022"
